Ver. 2010.09,unit,Town,Lat. ,Long. ,Trees,Beech,Maples,Birches,Ashs,Hemlock,Basswood,Elms,Pines,Hickories,Spruces,Fir,Cedar,Oaks,Chestnut,Ironwoods,Poplars,Tamarack,Cherries,Chamae'is,Nyssa,Juglans ,Buttonwood,Liriodendron ,Magnolia
CT,%,PlafdCT,41.6933,-71.8957,751,0.002663116,0.034620506,0.011984021,0.011984021,0,0.003994674,0.013315579,0.047936085,0.073235686,0,0,0,0.777629827,0.005326232,0,0.009320905,0,0,0.001331558,0,0,0.002663116,0,0
CT,%,Hebron,41.66,-72.3737,646,0.001547988,0.024767802,0.015479876,0.021671827,0,0.003095975,0.004643963,0,0.134674923,0,0,0,0.671826625,0.106811146,0,0.012383901,0,0.003095975,0,0,0,0,0,0
CT,%,Lebn/ColumbiaCT,41.6325,-72.2453,528,0,0.024621212,0.009469697,0.037878788,0,0.007575758,0.005681818,0.001893939,0.15719697,0,0,0,0.609848485,0.117424242,0,0.018939394,0,0,0,0.005681818,0,0,0.001893939,0
RI,%,E Greenwch,41.63,-71.58,93,0,0.043010753,0.010752688,0.010752688,0,0,0,0,0.23655914,0,0,0,0.612903226,0.064516129,0,0,0,0.010752688,0,0,0,0.010752688,0,0
CT,%,Voluntown,41.63,-71.82,757,0.005284016,0.021136063,0.018494055,0.021136063,0.005284016,0,0.001321004,0.096433289,0.044914135,0.001321004,0,0,0.673712021,0.08322325,0,0.005284016,0,0.002642008,0.011889036,0.005284016,0,0,0.001321004,0
RI,%,Tiverton,41.6053,-71.1748,684,0.033625731,0.057017544,0,0.007309942,0.011695906,0,0,0.058479532,0.14619883,0.004385965,0,0,0.656432749,0,0.001461988,0.002923977,0,0.001461988,0.002923977,0.010233918,0,0.002923977,0,0
CT,%,WatrburyCT,41.59,-73.06,2821,0.000708968,0.018078695,0.010634527,0.011697979,0,0.001063453,0.003544842,0.000354484,0.091102446,0.000708968,0,0,0.739454094,0.111662531,0,0.007089685,0,0,0,0.001417937,0.000708968,0.000354484,0,0
CT,%,NorwichCT,41.5725,-72.1078,448,0.006696429,0.024553571,0.017857143,0.024553571,0,0,0.002232143,0.006696429,0.131696429,0.002232143,0,0,0.736607143,0.037946429,0,0.002232143,0,0,0,0,0.006696429,0,0,0
CT,%,New Milford,41.57,-73.41,2853,0.001752541,0.014370838,0.016123379,0.02383456,0.001051525,0.004206099,0.006309148,0.002453558,0.160883281,0.004556607,0,0,0.621100596,0.11531721,0.002103049,0.012968805,0,0.001402033,0,0.001752541,0.002804066,0.004907115,0.000701016,0
CT,%,ColcstCT,41.57,-72.36,534,0,0.046816479,0.031835206,0.024344569,0,0,0.001872659,0.003745318,0.129213483,0,0,0,0.657303371,0.074906367,0,0.018726592,0,0.001872659,0,0.005617978,0,0,0.003745318,0
RI,%,N Kingston,41.56,-71.52,52,0,0.076923077,0,0.019230769,0,0,0,0,0.076923077,0,0,0,0.673076923,0.096153846,0.019230769,0,0,0.019230769,0,0,0,0,0,0
CT,%,Woodbury,41.56,-73.24,1595,0.006896552,0.010031348,0.026959248,0.006896552,0,0.001880878,0.000626959,0.001880878,0.16677116,0.000626959,0,0,0.640752351,0.123510972,0.000626959,0.005015674,0,0.000626959,0,0,0.003134796,0,0.001880878,0
CT,%,Preston,41.56,-71.96,488,0.004098361,0.040983607,0.006147541,0.040983607,0,0,0,0.010245902,0.049180328,0,0,0,0.795081967,0.040983607,0.006147541,0.004098361,0,0,0,0.00204918,0,0,0,0
