Ver. 2010.09,,Town,Lat. ,Long. ,Trees,Beech,Maples,Birches,Ashs,Hemlock,Basswood,Elms,Pines,Hickories,Spruces,Fir,Cedar,Oaks,Chestnut,Ironwoods,Poplars,Tamarack,Cherries,Chamae'is,Nyssa,Juglans ,Buttonwood,Liriodendron ,Magnolia,Other
NY,%,Stillwater (Saratoga Patent),42.9953,-73.6743,202,6.93%,4.46%,0.00%,6.44%,0.50%,0.50%,6.93%,31.19%,0.50%,0.00%,0.00%,0.00%,31.19%,7.92%,0.99%,0.00%,0.00%,0.99%,0.00%,0.00%,0.00%,1.49%,0.00%,0.00%,0.00%
NY,%,New Petersburg,42.99,-75.71,343,40.82%,22.16%,8.45%,2.92%,11.66%,3.50%,2.92%,1.17%,0.29%,0.00%,0.29%,2.33%,0.00%,0.00%,2.92%,0.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.29%
NY,%,Onondaga Resv. West,42.985,-76.195,185,35.68%,22.70%,1.62%,3.78%,6.49%,6.49%,2.70%,0.00%,4.86%,0.00%,0.00%,0.54%,7.03%,0.00%,7.03%,0.00%,0.00%,0.54%,0.00%,0.00%,0.54%,0.00%,0.00%,0.00%,0.00%
NY,%,Kay Southwest (Allot 13),42.96,-74,111,18.02%,5.41%,1.80%,9.01%,14.41%,1.80%,3.60%,14.41%,2.70%,0.00%,0.00%,0.00%,19.82%,0.00%,3.60%,1.80%,0.00%,0.00%,0.00%,0.00%,1.80%,0.00%,0.00%,0.00%,1.80%
NY,%,Junius,42.96,-76.85,113,43.36%,4.42%,0.88%,14.16%,0.00%,1.77%,4.42%,1.77%,0.00%,0.00%,0.00%,0.00%,23.89%,0.88%,0.00%,0.88%,0.00%,0.00%,0.00%,0.00%,0.00%,2.65%,0.88%,0.00%,0.00%
NY,%,Bayards Patent/Oneida,42.95,-75.2,480,46.67%,22.50%,1.67%,1.04%,7.71%,3.75%,9.79%,0.00%,0.00%,0.00%,0.00%,1.25%,0.00%,0.00%,4.38%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.25%
NY,%,Hoosuc Patent,42.94,-73.38,60,1.67%,8.33%,3.33%,0.00%,11.67%,1.67%,0.00%,8.33%,0.00%,0.00%,0.00%,0.00%,41.67%,3.33%,3.33%,5.00%,0.00%,3.33%,0.00%,0.00%,8.33%,0.00%,0.00%,0.00%,0.00%
NY,%,Pult T10-&11 RV&IV,42.94,-77.56,58,18.97%,12.07%,0.00%,8.62%,0.00%,10.34%,1.72%,0.00%,8.62%,0.00%,0.00%,0.00%,32.76%,0.00%,3.45%,0.00%,1.72%,0.00%,0.00%,0.00%,0.00%,0.00%,1.72%,0.00%,0.00%
NY,%,Craigie Tract,42.93,-78.03,708,70.34%,16.24%,0.00%,12.01%,0.14%,0.56%,0.56%,0.00%,0.00%,0.00%,0.00%,0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,Pompey,42.92,-76,140,31.43%,30.00%,5.71%,4.29%,8.57%,9.29%,2.86%,0.71%,0.71%,0.00%,0.00%,0.00%,0.71%,0.00%,4.29%,0.00%,0.00%,0.71%,0.00%,0.00%,0.71%,0.00%,0.00%,0.00%,0.00%
