      Lon      Lat    Year  FireRT
   -73.75    42.75    2007   190.8
   -73.75    42.75    2008   829.6
   -73.75    42.75    2009   831.2
   -73.75    42.75    2010   367.9
   -73.75    42.75    2011   656.1
   -73.75    42.75    2012   216.7
   -73.75    42.75    2013   872.5
   -73.75    42.75    2014   520.4
   -68.25    46.25    1901   383.8
   -68.25    46.25    1902   887.5
   -68.25    46.25    1903   119.5
   -68.25    46.25    1904   483.3
   -68.25    46.25    1905   165.0
   -68.25    46.25    1906   122.5
   -68.25    46.25    1907   610.7
   -68.25    46.25    1908   301.1
   -68.25    46.25    1909   233.7
   -68.25    46.25    1910   172.9
   -68.25    46.25    1911   118.0
   -68.25    46.25    1912   127.1
   -68.25    46.25    1913   143.7
   -68.25    46.25    1914   120.9
   -68.25    46.25    1915   123.2
